country_std,indicator_name,sex,age_group,age_categories,Year,Unemployment,GDP
Burundi,Unemployment rate by sex and age,Female,25+,Adults,2020,0.842,3089.0
Burundi,Unemployment rate by sex and age,Female,Under 15,Children,2020,0.976,3089.0
Burundi,Unemployment rate by sex and age,Male,15-24,Youth,2020,2.02,3089.0
Burundi,Unemployment rate by sex and age,Male,25+,Adults,2020,0.793,3089.0
Burundi,Unemployment rate by sex and age,Male,Under 15,Children,2020,1.086,3089.0
Cambodia,Unemployment rate by sex and age,Female,15-24,Youth,2020,0.56,34898.0
Cambodia,Unemployment rate by sex and age,Female,25+,Adults,2020,0.122,34898.0
Cambodia,Unemployment rate by sex and age,Female,Under 15,Children,2020,0.206,34898.0
Cambodia,Unemployment rate by sex and age,Male,15-24,Youth,2020,0.452,34898.0
Cambodia,Unemployment rate by sex and age,Male,25+,Adults,2020,0.069,34898.0
Cambodia,Unemployment rate by sex and age,Male,Under 15,Children,2020,0.138,34898.0
Cameroon,Unemployment rate by sex and age,Female,15-24,Youth,2020,7.849,40863.0
Cameroon,Unemployment rate by sex and age,Female,25+,Adults,2020,3.529,40863.0
Cameroon,Unemployment rate by sex and age,Female,Under 15,Children,2020,4.476,40863.0
Cameroon,Unemployment rate by sex and age,Male,15-24,Youth,2020,6.54,40863.0
Cameroon,Unemployment rate by sex and age,Male,25+,Adults,2020,2.686,40863.0
Cameroon,Unemployment rate by sex and age,Male,Under 15,Children,2020,3.563,40863.0
Canada,Unemployment rate by sex and age,Female,15-24,Youth,2020,19.464,1655685.0
Canada,Unemployment rate by sex and age,Female,25+,Adults,2020,7.88,1655685.0
Canada,Unemployment rate by sex and age,Female,Under 15,Children,2020,9.522,1655685.0
Canada,Unemployment rate by sex and age,Male,15-24,Youth,2020,20.822,1655685.0
Canada,Unemployment rate by sex and age,Male,25+,Adults,2020,8.072,1655685.0
Canada,Unemployment rate by sex and age,Male,Under 15,Children,2020,9.782,1655685.0
Central African Republic,Unemployment rate by sex and age,Female,15-24,Youth,2020,12.999,2389.0
Central African Republic,Unemployment rate by sex and age,Female,25+,Adults,2020,4.79,2389.0
Central African Republic,Unemployment rate by sex and age,Female,Under 15,Children,2020,7.48,2389.0
Central African Republic,Unemployment rate by sex and age,Male,15-24,Youth,2020,10.759,2389.0
Central African Republic,Unemployment rate by sex and age,Male,25+,Adults,2020,4.08,2389.0
Central African Republic,Unemployment rate by sex and age,Male,Under 15,Children,2020,5.982,2389.0
Chad,Unemployment rate by sex and age,Female,15-24,Youth,2020,0.902,14954.0
Chad,Unemployment rate by sex and age,Female,25+,Adults,2020,1.049,14954.0
Chad,Unemployment rate by sex and age,Female,Under 15,Children,2020,1.011,14954.0
Chad,Unemployment rate by sex and age,Male,15-24,Youth,2020,2.543,14954.0
Chad,Unemployment rate by sex and age,Male,25+,Adults,2020,2.034,14954.0
Chad,Unemployment rate by sex and age,Male,Under 15,Children,2020,2.147,14954.0
Chile,Unemployment rate by sex and age,Female,15-24,Youth,2020,26.116,254060.0
Chile,Unemployment rate by sex and age,Female,25+,Adults,2020,9.833,254060.0
Chile,Unemployment rate by sex and age,Female,Under 15,Children,2020,11.171,254060.0
Chile,Unemployment rate by sex and age,Male,15-24,Youth,2020,23.267,254060.0
Chile,Unemployment rate by sex and age,Male,25+,Adults,2020,9.691,254060.0
Chile,Unemployment rate by sex and age,Male,Under 15,Children,2020,10.781,254060.0
China,Unemployment rate by sex and age,Female,15-24,Youth,2020,11.425,15103357.0
China,Unemployment rate by sex and age,Female,25+,Adults,2020,3.612,15103357.0
China,Unemployment rate by sex and age,Female,Under 15,Children,2020,4.344,15103357.0
China,Unemployment rate by sex and age,Male,15-24,Youth,2020,13.684,15103357.0
China,Unemployment rate by sex and age,Male,25+,Adults,2020,4.61,15103357.0
China,Unemployment rate by sex and age,Male,Under 15,Children,2020,5.538,15103357.0
Colombia,Unemployment rate by sex and age,Female,15-24,Youth,2020,35.221,270348.0
Colombia,Unemployment rate by sex and age,Female,25+,Adults,2020,17.721,270348.0
Colombia,Unemployment rate by sex and age,Female,Under 15,Children,2020,20.516,270348.0
Colombia,Unemployment rate by sex and age,Male,15-24,Youth,2020,21.726,270348.0
Colombia,Unemployment rate by sex and age,Male,25+,Adults,2020,11.099,270348.0
Colombia,Unemployment rate by sex and age,Male,Under 15,Children,2020,12.803,270348.0
Comoros,Unemployment rate by sex and age,Female,15-24,Youth,2020,12.905,1218.0
Comoros,Unemployment rate by sex and age,Female,25+,Adults,2020,5.62,1218.0
Comoros,Unemployment rate by sex and age,Female,Under 15,Children,2020,6.415,1218.0
Comoros,Unemployment rate by sex and age,Male,15-24,Youth,2020,10.378,1218.0
Comoros,Unemployment rate by sex and age,Male,25+,Adults,2020,4.901,1218.0
Comoros,Unemployment rate by sex and age,Male,Under 15,Children,2020,5.393,1218.0
Republic of the Congo,Unemployment rate by sex and age,Female,15-24,Youth,2020,46.006,11485.0
Republic of the Congo,Unemployment rate by sex and age,Female,25+,Adults,2020,18.319,11485.0
Republic of the Congo,Unemployment rate by sex and age,Female,Under 15,Children,2020,23.893,11485.0
Republic of the Congo,Unemployment rate by sex and age,Male,15-24,Youth,2020,48.672,11485.0
Republic of the Congo,Unemployment rate by sex and age,Male,25+,Adults,2020,15.32,11485.0
Republic of the Congo,Unemployment rate by sex and age,Male,Under 15,Children,2020,21.458,11485.0
Democratic Republic of the Congo,Unemployment rate by sex and age,Female,15-24,Youth,2020,7.987,49613.0
Democratic Republic of the Congo,Unemployment rate by sex and age,Female,25+,Adults,2020,3.229,49613.0
Democratic Republic of the Congo,Unemployment rate by sex and age,Female,Under 15,Children,2020,4.263,49613.0
Democratic Republic of the Congo,Unemployment rate by sex and age,Male,15-24,Youth,2020,12.843,49613.0
Democratic Republic of the Congo,Unemployment rate by sex and age,Male,25+,Adults,2020,5.381,49613.0
Democratic Republic of the Congo,Unemployment rate by sex and age,Male,Under 15,Children,2020,6.629,49613.0
Costa Rica,Unemployment rate by sex and age,Female,15-24,Youth,2020,49.392,62382.0
Costa Rica,Unemployment rate by sex and age,Female,25+,Adults,2020,16.501,62382.0
Costa Rica,Unemployment rate by sex and age,Female,Under 15,Children,2020,21.25,62382.0
Costa Rica,Unemployment rate by sex and age,Male,15-24,Youth,2020,33.532,62382.0
Costa Rica,Unemployment rate by sex and age,Male,25+,Adults,2020,10.022,62382.0
Costa Rica,Unemployment rate by sex and age,Male,Under 15,Children,2020,13.195,62382.0
Croatia,Unemployment rate by sex and age,Female,15-24,Youth,2020,25.079,57919.0
Croatia,Unemployment rate by sex and age,Female,25+,Adults,2020,6.351,57919.0
Croatia,Unemployment rate by sex and age,Female,Under 15,Children,2020,7.581,57919.0
